Model,MACs,Params
vit_large_patch14_reg4_dinov2.lvd142m,393930302464.0,302919685.0
convnext_large,179513336832.0,196150661.0
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,135340180992.0,148061765.0
vgg19_bn,114186166272.0,139601733.0
vit_base_patch14_dinov2,110845115136.0,85512197.0
vit_base_patch16_384,87740726016.0,85650437.0
convnext_base,80215545856.0,87513349.0
convnext_small,45364154880.0,49414853.0
seresnext50_32x4d,22395392000.0,25521141.0
resnext50_32x4d.tv2_in1k,22392877056.0,22990149.0
resnet50,21585997824.0,23518277.0
densenet121.tv_in1k,14802884608.0,6875333.0
vit_large_patch14_dinov2,392721540096.0,302919685.0
resnet18,9526971392.0,11179077.0
mobilevit_s,7310987008.0,4928581.0
efficientnet_b2,3430210752.0,7640471.0
vit_large_patch16_384,310550668288.0,303104005.0
vit_base_patch14_reg4_dinov2.lvd142m,111185160960.0,85512197.0
swinv2_base_window16_256,60438324224.0,65935749.0
vit_small_patch14_dinov2,27882495360.0,21522437.0
seresnet50,21588512768.0,26049269.0
inception_v3.gluon_in1k,17520222560.0,21761381.0
tf_efficientnet_b5,12138507072.0,28139845.0
efficientnet_b0,2006683648.0,3971937.0
mobilenetv3_small_100,285606464.0,1505744.0
